No.,Time,,Time 1,Time 2,Delay,Total Delay,Rata-Rata Delay,Delay 1,Delay 2,Jitter,Total Jitter,Rata - rata Jitter
30909,158.096558,,158.096558,158.0981,0.001542,,,0.001542,0,-0.001542,,
30910,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30911,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30912,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30913,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30914,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30915,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30916,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30917,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30918,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30919,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30920,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30921,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30922,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30923,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30924,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30925,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30926,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30927,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30928,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30929,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30930,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30931,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30932,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30933,158.0981,,158.0981,158.0981,0,,,0,0,0,,
30934,158.0981,,158.0981,158.0981,0,,,-0.000779,0.000779,0.001558,,
30935,158.0981,,158.0981,158.098879,0.000779,,,0.00054,0.000239,-0.000301,,
30936,158.098879,,158.098879,158.099118,0.000239,,,-0.00393,0.004169,0.008099,,
30937,158.099118,,158.099118,158.103287,0.004169,,,0.004169,0,-0.004169,,
30938,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30939,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30940,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30941,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30942,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30943,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30944,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30945,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30946,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30947,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30948,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30949,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30950,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30951,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30952,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30953,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30954,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30955,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30956,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30957,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30958,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30959,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30960,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30961,158.103287,,158.103287,158.103287,0,,,0,0,0,,
30962,158.103287,,158.103287,158.103287,0,,,-0.000646,0.000646,0.001292,,
30963,158.103287,,158.103287,158.103933,0.000646,,,0.000411,0.000235,-0.000176,,
30964,158.103933,,158.103933,158.104168,0.000235,,,2.9E-05,0.000206,0.000177,,
30965,158.104168,,158.104168,158.104374,0.000206,,,-0.003376,0.003582,0.006958,,
30966,158.104374,,158.104374,158.107956,0.003582,,,0.003582,0,-0.003582,,
30967,158.107956,,158.107956,158.107956,0,,,0,0,0,,
30968,158.107956,,158.107956,158.107956,0,,,0,0,0,,
30969,158.107956,,158.107956,158.107956,0,,,-0.000306,0.000306,0.000612,,
30970,158.107956,,158.107956,158.108262,0.000306,,,-0.008446,0.008752,0.017198,,
30971,158.108262,,158.108262,158.117014,0.008752,,,0.005265,0.003487,-0.001778,,
30972,158.117014,,158.117014,158.120501,0.003487,,,0.003487,0,-0.003487,,
30973,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30974,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30975,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30976,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30977,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30978,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30979,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30980,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30981,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30982,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30983,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30984,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30985,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30986,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30987,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30988,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30989,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30990,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30991,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30992,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30993,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30994,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30995,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30996,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30997,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30998,158.120501,,158.120501,158.120501,0,,,0,0,0,,
30999,158.120501,,158.120501,158.120501,0,,,0,0,0,,
31000,158.120501,,158.120501,158.120501,0,,,0,0,0,,
31001,158.120501,,158.120501,158.120501,0,,,0,0,0,,
31002,158.120501,,158.120501,158.120501,0,,,0,0,0,,
31003,158.120501,,158.120501,158.120501,0,,,-0.000587,0.000587,0.001174,,
31004,158.120501,,158.120501,158.121088,0.000587,,,0.000587,0,-0.000587,,
31005,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31006,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31007,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31008,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31009,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31010,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31011,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31012,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31013,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31014,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31015,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31016,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31017,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31018,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31019,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31020,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31021,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31022,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31023,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31024,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31025,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31026,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31027,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31028,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31029,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31030,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31031,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31032,158.121088,,158.121088,158.121088,0,,,0,0,0,,
31033,158.121088,,158.121088,158.121088,0,,,-0.000187,0.000187,0.000374,,
31034,158.121088,,158.121088,158.121275,0.000187,,,-9.9E-05,0.000286,0.000385,,
31035,158.121275,,158.121275,158.121561,0.000286,,,0.000137,0.000149,1.2E-05,,
31036,158.121561,,158.121561,158.12171,0.000149,,,-0.000127,0.000276,0.000403,,
31037,158.12171,,158.12171,158.121986,0.000276,,,0.000105,0.000171,6.6E-05,,
31038,158.121986,,158.121986,158.122157,0.000171,,,2.5E-05,0.000146,0.000121,,
31039,158.122157,,158.122157,158.122303,0.000146,,,0.000146,0,-0.000146,,
31040,158.122303,,158.122303,158.122303,0,,,0,0,0,,
31041,158.122303,,158.122303,158.122303,0,,,0,0,0,,
31042,158.122303,,158.122303,158.122303,0,,,0,0,0,,
31043,158.122303,,158.122303,158.122303,0,,,0,0,0,,
31044,158.122303,,158.122303,158.122303,0,,,0,0,0,,
31045,158.122303,,158.122303,158.122303,0,,,0,0,0,,
31046,158.122303,,158.122303,158.122303,0,,,0,0,0,,
31047,158.122303,,158.122303,158.122303,0,,,0,0,0,,
31048,158.122303,,158.122303,158.122303,0,,,-1.4E-05,1.4E-05,2.8E-05,,
31049,158.122303,,158.122303,158.122317,1.4E-05,,,-0.000397,0.000411,0.000808,,
31050,158.122317,,158.122317,158.122728,0.000411,,,-0.003679,0.00409,0.007769,,
